Transaction_id,User_id,Product_id,Product_name,Category,Price,Quantity,Discount,Payment_Method,Transaction_Time,Delivery_Status,Location,Device_Type,Customer_Feedback
T1000,U428,P6605,Vacuum Cleaner,Home,473.83,5,112.64,Cash on Delivery,08-05-2025 11:56,In Transit,"Loweland, New York, Tokelau",Mobile,Excellent
T1001,U447,P8646,Non-fiction Book,Books,175.48,4,32.39,Net Banking,03-05-2025 02:12,Returned,"Lake Sandraborough, Alaska, Mongolia",Desktop,No Feedback
T1002,U446,P2785,Laptop,Electronics,206.16,4,18.91,UPI,11-04-2025 02:09,Returned,"Owentown, Arizona, Russian Federation",Mobile,Excellent
T1003,U862,P6025,Vacuum Cleaner,Home,155.42,5,39.14,Credit Card,25-04-2025 06:22,Cancelled,"Austinport, North Carolina, Jordan",Mobile,No Feedback
T1004,U314,P5253,Vacuum Cleaner,Home,422.67,2,29.57,Net Banking,13-04-2025 22:31,Returned,"Walkermouth, North Carolina, Kyrgyz Republic",Mobile,Poor
T1005,U416,P4811,Magazine,Books,111.98,4,16.22,Debit Card,14-04-2025 14:42,Cancelled,"South Jesus, Ohio, Venezuela",Mobile,Good
T1006,U893,P7405,Vacuum Cleaner,Home,359.41,1,38.15,UPI,14-04-2025 08:35,Delivered,"East Amanda, New Hampshire, Tokelau",Desktop,Excellent
T1007,U269,P2289,Smartphone,Electronics,155.35,3,14.84,UPI,14-04-2025 23:08,Returned,"Millertown, Arizona, Azerbaijan",Mobile,Good
T1008,U914,P7091,Laptop,Electronics,140.04,1,29.09,UPI,15-04-2025 18:45,Returned,"South Allisonland, Virginia, Antarctica (the territory South of 60 deg S)",Desktop,Good
T1009,U427,P2368,Jacket,Fashion,121.29,5,15.27,Cash on Delivery,08-05-2025 15:15,Returned,"Port Lori, Pennsylvania, Armenia",Mobile,Good
T1010,U957,P2938,Non-fiction Book,Books,43.42,1,11.9,Net Banking,16-04-2025 05:17,Cancelled,"Bennetttown, Michigan, Macao",Desktop,No Feedback
T1011,U108,P6976,Headphones,Electronics,336.62,3,2.83,Net Banking,11-04-2025 22:08,Delivered,"South Lorifurt, New Jersey, Saint Pierre and Miquelon",Mobile,Poor
T1012,U941,P7198,Magazine,Books,428.04,2,116.85,Debit Card,13-04-2025 09:10,Returned,"East Katie, Maryland, Croatia",Mobile,Poor
T1013,U672,P8805,Toaster,Home,88.39,3,17.67,Cash on Delivery,23-04-2025 20:41,In Transit,"Jessicafurt, North Carolina, Georgia",Mobile,Good
T1014,U208,P9229,Table Lamp,Home,110.11,2,29.59,UPI,19-04-2025 13:47,Delivered,"West Davidberg, Wyoming, Montenegro",Mobile,Good
T1015,U679,P4977,Toaster,Home,259.91,2,40.5,Credit Card,16-04-2025 13:12,In Transit,"Johnbury, Kentucky, Saint Vincent and the Grenadines",Desktop,Excellent
T1016,U595,P2885,Jacket,Fashion,16.82,4,3.64,Net Banking,11-04-2025 05:28,Cancelled,"Griffinmouth, South Dakota, India",Mobile,Poor
T1017,U941,P2050,Smartwatch,Electronics,218.99,3,37.99,Cash on Delivery,23-04-2025 16:51,Delivered,"Lake Rodney, West Virginia, Saint Martin",Mobile,Poor
T1018,U300,P2265,Comics,Books,242.77,4,0.01,Debit Card,04-05-2025 08:49,Returned,"West Lawrence, Illinois, Malaysia",Desktop,Poor
T1019,U407,P3324,Non-fiction Book,Books,214.09,5,5.57,Debit Card,07-05-2025 17:59,In Transit,"Rodriguezhaven, Colorado, Costa Rica",Desktop,Average
T1020,U291,P2375,Jacket,Fashion,268.7,2,75.95,UPI,18-04-2025 05:58,Cancelled,"North Sharon, Wisconsin, Macao",Desktop,Good
T1021,U942,P9155,Laptop,Electronics,353.45,2,7.82,Cash on Delivery,02-05-2025 08:30,Delivered,"New Rebeccaville, Colorado, Cyprus",Desktop,No Feedback
T1022,U935,P3317,Toaster,Home,150.75,3,28.13,Debit Card,15-04-2025 11:15,Delivered,"North Jessica, Nebraska, Sierra Leone",Mobile,Poor
T1023,U929,P2773,Vacuum Cleaner,Home,303.9,2,23.83,Debit Card,10-04-2025 08:06,Cancelled,"East Robertstad, Utah, Western Sahara",Mobile,No Feedback
T1024,U768,P6570,Jacket,Fashion,229.99,5,5.71,Net Banking,08-05-2025 12:04,In Transit,"Jillianstad, Delaware, Ethiopia",Mobile,Poor
T1025,U831,P2114,Headphones,Electronics,183.35,4,14.54,Net Banking,08-05-2025 04:26,Cancelled,"Lake Deanna, Hawaii, Pakistan",Mobile,No Feedback
T1026,U689,P4926,Shoes,Fashion,200.82,4,9.44,Net Banking,08-05-2025 03:10,In Transit,"South Jenniferburgh, North Carolina, Monaco",Desktop,No Feedback
T1027,U179,P6525,Toaster,Home,81.69,2,2.11,Debit Card,18-04-2025 11:40,Cancelled,"South Lucasville, Virginia, Serbia",Mobile,Poor
